OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType,UsageType_Bin,NumPropertyUseTypes
84,2016,NonResidential,Senior Care Community,98126.0,1,SOUTHWEST,47.55837,-122.37751,1922,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,0.0,,42792072.0,0.0,11824772.0,30967300.0,Multi_usage,1,2
85,2016,NonResidential,Senior Care Community,98133.0,5,NORTHWEST,47.72426,-122.35599,1970,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,,,16402563.0,0.0,5679498.0,10723064.0,Mono_usage,0,1
86,2016,NonResidential,Hotel,98109.0,7,LAKE_UNION,47.61988,-122.33211,2008,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,20732.0,,3706100.25,0.0,2812688.0,893412.0,Multi_usage,1,2
89,2016,NonResidential,Medical Office,98122.0,3,EAST,47.61244,-122.3214,1965,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,,,16701055.0,0.0,9886484.0,6814570.0,Mono_usage,0,1
95,2016,NonResidential,Hotel,98104.0,3,EAST,47.60898,-122.32693,1908,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,,,7258758.5,0.0,2660742.0,4598016.0,Mono_usage,0,1
96,2016,NonResidential,Mixed Use Property,98104.0,3,EAST,47.60845,-122.32637,1983,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,20868.0,17020.0,15473117.0,5327802.5,10145313.0,0.0,Multi_usage,1,6
98,2016,NonResidential,Retail Store,98109.0,7,LAKE_UNION,47.62237,-122.33805,1929,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,,,1049748.625,0.0,361803.0,687945.0,Mono_usage,0,1
100,2016,NonResidential,Large Office,98109.0,7,LAKE_UNION,47.62424,-122.33646,2010,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,150726.0,15139.0,13795954.0,0.0,12871091.0,924861.0,Multi_usage,1,4
102,2016,NonResidential,Hotel,98109.0,3,LAKE_UNION,47.62642,-122.33325,1990,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,51537.0,,19459304.0,0.0,10980652.0,8478651.0,Multi_usage,1,2
103,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62208,-122.35398,1962,1.0,1,389000,0,389000,Other,Other,368000.0,,,23658978.0,6093150.0,14419146.0,688680.0,Mono_usage,0,1
104,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62208,-122.35398,1962,1.0,1,91213,0,91213,Other,Other,65000.0,,,8141155.5,4120130.0,3754115.0,0.0,Mono_usage,0,1
106,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62208,-122.35398,1938,1.0,5,396085,0,396085,Other,Other,278500.0,,,20955026.0,9763690.0,7252325.0,0.0,Mono_usage,0,1
107,2016,NonResidential,Large Office,98109.0,7,LAKE_UNION,47.62112,-122.33629,2010,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,310699.0,26203.0,39605888.0,0.0,32206199.0,7399685.0,Multi_usage,1,3
110,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62395,-122.35077,1962,1.0,2,52000,0,52000,Other,Other,52000.0,,,2726369.0,1202380.0,1293349.0,0.0,Mono_usage,0,1
111,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62395,-122.35077,1928,1.0,1,60696,0,60696,Other,Other,108000.0,,,875943.3125,0.0,875943.0,0.0,Mono_usage,0,1
112,2016,Nonresidential COS,Other,98109.0,7,MAGNOLIA_QUEENANNE,47.62395,-122.35143,1928,1.0,2,262048,0,262048,Other,Other,296000.0,,,20723248.0,5137220.0,13512686.0,0.0,Mono_usage,0,1
113,2016,NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA_QUEENANNE,47.62391,-122.34837,1986,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,5181.0,4551.0,4166306.25,0.0,4166305.0,0.0,Multi_usage,1,5
114,2016,NonResidential,Large Office,98109.0,7,MAGNOLIA_QUEENANNE,47.62419,-122.34443,2010,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,185014.0,6000.0,36667044.0,0.0,27597261.0,9069780.0,Multi_usage,1,3
115,2016,NonResidential,Small- and Mid-Sized Office,98033.0,7,MAGNOLIA_QUEENANNE,47.62053,-122.35842,1970,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,21454.0,2406.0,3476212.5,0.0,2944692.0,531520.0,Multi_usage,1,3
